File.Name,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
106_AmphBract_1.tiff,Full,136,142,7879.935733,0.01802,106476.579428,21.079973,10.966562,126.892464,11713.145426,5986329.293691,529077.991223,0.308,0,1067.391416,6812.544317,0,3846.511619,164564.243549,0,12084.172646,516993.818578,0,11817.113798,5974512.179893
106_AmphBract_2.tiff,Full,183,235,9743.941788,0.024118,100060.878674,15.216353,10.753599,106.78058,14710.024089,3638095.663927,470458.358241,0.224,0,2194.278087,7549.663701,0,8118.638313,141632.908153,0,25505.454483,444952.903759,0,25573.936168,3612521.727759
106_AmphBract_3.tiff,Full,193,273,10959.783065,0.024909,99294.186244,12.288629,8.867644,95.240709,17608.201164,2532607.698232,425489.469571,0.385,0,2436.120546,8523.662519,0,9364.97182,126072.532811,0,29420.926672,396068.542899,0,30205.694204,2502402.004028
106_AmphBract_4.tiff,Full,222,254,13243.129268,0.01918,126360.857452,12.757995,8.602879,86.082544,22180.048781,3267300.750849,527204.013048,0.34,0,3903.026229,9340.103038,0,15040.48614,152708.166299,0,47251.080765,479952.932283,0,48439.901906,3218860.848943
107_PoaPrat_2.tiff,Full,54,58,2412.106736,0.024045,21608.468691,11.968311,10.966562,39.540503,3718.306715,360064.427793,91806.955518,0.148,0,334.152017,2077.954719,0,1327.548016,27895.513546,0,4170.615094,87636.340424,0,4373.110057,355691.317736
107_PoaPrat_3.tiff,Full,249,325,8009.569511,0.040576,60403.336916,11.807891,9.618311,56.083907,10741.735076,1418954.133589,300625.095869,0.211,0,2154.890433,5854.679079,0,7527.428744,88132.297762,0,23648.114843,276976.981026,0,22610.478619,1396343.65497
BU106_UrtiDioi_2.tiff,Full,517,409,9508.246635,0.043015,49803.825087,8.59558,5.459122,39.602159,13703.383726,1031715.153956,256656.590946,0.219,1855.47624,2452.48394,5200.286455,3581.238336,8894.271739,69179.602187,11250.792048,27942.178753,217463.620145,5428.76364,26102.22904,1000184.161275
BU107_AmphBract_1.tiff,Full,1044,1024,32113.908715,0.031886,408876.20726,21.68057,15.440729,141.371772,39089.153394,22412181.328672,2229169.366028,0.693,1345.073862,2172.727459,28596.107394,2596.115205,7977.06355,698942.250822,8155.936455,25060.684245,2195952.745328,3935.425265,23701.325695,22384544.577712
BU107_AmphBract_2.tiff,Full,727,833,20977.970718,0.039708,191571.083277,15.566692,10.393859,101.856891,27128.741856,8107835.426127,1056739.014016,0.655,1489.471141,2625.69542,16862.804156,2859.010215,9614.904328,323821.866954,9031.498064,30214.388231,1017493.127722,4357.903701,28459.603975,8075017.918452
BU107_AmphBract_3.tiff,Full,803,917,30850.524011,0.029724,316698.572168,18.895822,9.650456,191.322571,42534.644043,27426694.117601,1895545.865591,0.605,2238.475959,4570.317434,24041.730619,4320.462718,17048.53717,581856.890608,13573.133934,53559.559126,1828413.172531,6549.346541,51263.896566,27368880.874494
BU107_AmphBract_4.tiff,Full,653,705,21580.24272,0.032669,208778.953504,17.569544,11.580547,129.833605,28437.872363,12701486.290045,1205549.484148,0.497,1392.760831,2467.742453,17719.739436,2685.521252,9139.551909,371822.980128,8445.089266,28731.253557,1168373.141324,4074.948088,27375.440875,12670035.901082
BU107_AmphBract_5.tiff,Full,1194,1208,24426.009547,0.049455,137424.54569,9.880326,6.103484,62.303393,31947.075517,3616209.234271,765432.101997,0.697,4934.196439,5421.314341,14070.498767,9523.449053,19259.092956,214734.995381,29918.797582,60517.309548,674995.994867,14436.501873,55564.119397,3546208.613001
104_AmphBract_1.tiff,Full,562,556,22468.617797,0.024746,178674.028095,10.977512,7.75453,66.672312,35891.931755,3556399.207775,775428.476983,0.503,0,7139.830402,15328.787395,0,26557.696132,220194.963971,0,83433.463066,691995.013917,0,83473.05095,3472926.156825
