File.Name,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
BU106_UrtiDioi_2.tiff, Full, 527, 417, 10619.943123, 0.039266, 62000.323711, 9.555408, 6.083154, 44.129078, 15285.54598, 1427801.808184, 319018.984063, 0.236, 0, 4814.827815, 5805.115308, 0, 15529.901276, 85962.544617, 0, 48798.899249, 270220.084815, 0, 43743.835711, 1384057.972473
BU107_AmphBract_1.tiff, Full, 1081, 1057, 36154.638368, 0.029236, 508132.057105, 24.11451, 16.797658, 157.531967, 43638.815447, 31267568.767232, 2793484.240612, 0.767, 0, 4013.197701, 32141.440668, 0, 13431.876255, 875689.839303, 0, 42197.483767, 2751286.756845, 0, 39102.273239, 31228466.493993
BU107_AmphBract_2.tiff, Full, 1293, 1077, 28131.725473, 0.038284, 306604.11877, 20.488595, 13.602346, 131.774369, 32276.958668, 19894405.822612, 1901543.91647, 0.721, 0, 5333.272461, 22798.453013, 0, 17517.071998, 587522.959923, 0, 55105.100609, 1846438.81586, 0, 50304.236071, 19844101.586542
BU107_AmphBract_5.tiff, Full, 1203, 1211, 27276.411471, 0.044397, 170964.317041, 11.01812, 6.801173, 69.425288, 35615.518571, 5017264.356641, 953154.069885, 0.72, 0, 11542.658835, 15733.752636, 0, 35731.084446, 267539.65577, 0, 112268.759375, 840885.310509, 0, 96774.091984, 4920490.264657
BU107_AmphBract_6.tiff, Full, 465, 375, 11623.925394, 0.032261, 105482.076427, 13.391994, 10.753599, 85.624578, 16983.720527, 3093059.288837, 503736.022794, 0.358, 0, 2671.24992, 8952.675474, 0, 9355.574585, 150937.366354, 0, 29407.651361, 474328.371434, 0, 28278.729244, 3064780.559593
BU107_SorgNuta_1.tiff, Full, 1396, 1324, 29507.188481, 0.04487, 240090.370393, 14.809575, 8.867644, 94.656109, 35981.743314, 11891788.257796, 1422440.620761, 0.554, 0, 8168.240256, 21338.948226, 0, 28875.753209, 423787.268174, 0, 90732.101125, 1331708.519636, 0, 87536.661671, 11804251.596125
BU107_SorgNuta_11c.tiff, Full, 78, 48, 1764.042356, 0.02721, 18970.722941, 14.821767, 12.166308, 44.338223, 2610.3605, 459279.366046, 82835.278795, 0.217, 0, 423.451654, 1340.590702, 0, 1421.841668, 24945.446497, 0, 4466.847339, 78368.431456, 0, 4172.546917, 455106.819129
BU107_SorgNuta_12c.tiff, Full, 93, 43, 1723.705964, 0.024946, 16918.115003, 11.473629, 12.540743, 21.507197, 2905.575722, 224524.162972, 64340.80497, 0.125, 0, 258.679212, 1465.026752, 0, 770.847884, 19709.466423, 0, 2421.690048, 61919.114922, 0, 2024.747676, 222499.415296
BU107_SorgNuta_13d.tiff, Full, 67, 69, 2514.608704, 0.02744, 37943.75868, 19.928179, 22.862465, 41.089442, 3610.270602, 1029948.437834, 159667.141819, 0.152, 0, 377.917534, 2136.69117, 0, 1157.308944, 49666.320795, 0, 3635.793277, 156031.348542, 0, 3105.08645, 1026843.351384
BU107_SorgNuta_13e.tiff, Full, 167, 171, 4081.222592, 0.041899, 30798.370258, 10.876332, 10.753599, 37.127178, 5786.987038, 522720.085537, 141805.735663, 0.165, 0, 848.405552, 3232.817039, 0, 2963.991263, 42164.363947, 0, 9311.653178, 132494.082485, 0, 8860.34762, 513859.737918
