sample_id,species,functional_group,photosynthetic_pathway,site,batch,replicate_number_root,replicate_number_position,staining_success,hyphopodia,intrhyphae,arbuscule,coil,vesicle,spore,total,fire_frequency,light_uptake_herb,soil_inorganic_nitrogen,percent_cover,relative_percent.cover
1501,Amphicarpa bracteata,legume,C3,104,3,1,1,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1502,Amphicarpa bracteata,legume,C3,104,3,1,2,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1503,Amphicarpa bracteata,legume,C3,104,3,1,3,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1504,Amphicarpa bracteata,legume,C3,104,3,1,4,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1505,Amphicarpa bracteata,legume,C3,104,3,1,5,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1506,Amphicarpa bracteata,legume,C3,104,3,1,6,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1507,Amphicarpa bracteata,legume,C3,104,3,1,7,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1508,Amphicarpa bracteata,legume,C3,104,3,1,8,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1509,Amphicarpa bracteata,legume,C3,104,3,1,9,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1510,Amphicarpa bracteata,legume,C3,104,3,1,10,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1511,Amphicarpa bracteata,legume,C3,104,3,2,1,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1512,Amphicarpa bracteata,legume,C3,104,3,2,2,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1513,Amphicarpa bracteata,legume,C3,104,3,2,3,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1514,Amphicarpa bracteata,legume,C3,104,3,2,4,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1515,Amphicarpa bracteata,legume,C3,104,3,2,5,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1516,Amphicarpa bracteata,legume,C3,104,3,2,6,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1517,Amphicarpa bracteata,legume,C3,104,3,2,7,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1518,Amphicarpa bracteata,legume,C3,104,3,2,8,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1519,Amphicarpa bracteata,legume,C3,104,3,2,9,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1520,Amphicarpa bracteata,legume,C3,104,3,2,10,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1521,Amphicarpa bracteata,legume,C3,104,3,3,1,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1522,Amphicarpa bracteata,legume,C3,104,3,3,2,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1523,Amphicarpa bracteata,legume,C3,104,3,3,3,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1524,Amphicarpa bracteata,legume,C3,104,3,3,4,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1525,Amphicarpa bracteata,legume,C3,104,3,3,5,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1526,Amphicarpa bracteata,legume,C3,104,3,3,6,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1527,Amphicarpa bracteata,legume,C3,104,3,3,7,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1528,Amphicarpa bracteata,legume,C3,104,3,3,8,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1529,Amphicarpa bracteata,legume,C3,104,3,3,9,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1530,Amphicarpa bracteata,legume,C3,104,3,3,10,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1531,Amphicarpa bracteata,legume,C3,104,3,4,1,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1532,Amphicarpa bracteata,legume,C3,104,3,4,2,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1533,Amphicarpa bracteata,legume,C3,104,3,4,3,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1534,Amphicarpa bracteata,legume,C3,104,3,4,4,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1535,Amphicarpa bracteata,legume,C3,104,3,4,5,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1536,Amphicarpa bracteata,legume,C3,104,3,4,6,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1537,Amphicarpa bracteata,legume,C3,104,3,4,7,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1538,Amphicarpa bracteata,legume,C3,104,3,4,8,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1539,Amphicarpa bracteata,legume,C3,104,3,4,9,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1540,Amphicarpa bracteata,legume,C3,104,3,4,10,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1541,Amphicarpa bracteata,legume,C3,104,3,5,1,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1542,Amphicarpa bracteata,legume,C3,104,3,5,2,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1543,Amphicarpa bracteata,legume,C3,104,3,5,3,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1544,Amphicarpa bracteata,legume,C3,104,3,5,4,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
1545,Amphicarpa bracteata,legume,C3,104,3,5,5,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8,0.3644375,0.001395685667,3.1875,
