sample_id,species,functional_group,photosynthetic_pathway,site,batch,replicate_number_root,replicate_number_position,staining_success,hyphopodia,intrhyphae,arbuscule,coil,vesicle,spore,total,fire_frequency
1101,Poa pratensis,grass,C3,104,3,1,1,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1102,Poa pratensis,grass,C3,104,3,1,2,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1103,Poa pratensis,grass,C3,104,3,1,3,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1104,Poa pratensis,grass,C3,104,3,1,4,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1105,Poa pratensis,grass,C3,104,3,1,5,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1106,Poa pratensis,grass,C3,104,3,1,6,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1107,Poa pratensis,grass,C3,104,3,1,7,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1108,Poa pratensis,grass,C3,104,3,1,8,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1109,Poa pratensis,grass,C3,104,3,1,9,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1110,Poa pratensis,grass,C3,104,3,1,10,N (overstained),NA,NA,NA,NA,NA,NA,0,0.8
1111,Poa pratensis,grass,C3,104,3,2,1,Y,1,0,0,0,0,0,1,0.8
1112,Poa pratensis,grass,C3,104,3,2,2,Y,0,0,0,0,0,0,0,0.8
1113,Poa pratensis,grass,C3,104,3,2,3,Y,0,0,0,0,0,0,0,0.8
1114,Poa pratensis,grass,C3,104,3,2,4,Y,0,0,0,0,0,0,0,0.8
1115,Poa pratensis,grass,C3,104,3,2,5,Y,0,0,0,0,0,0,0,0.8
1116,Poa pratensis,grass,C3,104,3,2,6,Y,0,0,0,0,0,0,0,0.8
1117,Poa pratensis,grass,C3,104,3,2,7,Y,0,0,0,0,0,0,0,0.8
1118,Poa pratensis,grass,C3,104,3,2,8,Y,0,0,0,0,0,0,0,0.8
