"","Burn.Unit","Fire","Veg","Point","NumberIN","NH4amountmgperg","NO3amountmgperg","TotalINmgperg"
"1","104 S",0.74,"grass","A",26,0.000653949,0.000246333,0.000900282
"2","104 S",0.74,"tree","C",23,0.000928103,0,0.000928103
"3","104 S",0.74,"tree","B",22,0.001092924,0,0.001092924
"4","104 S",0.74,"grass","D",29,0.001106804,0,0.001106804
"5","104 S",0.74,"tree","A",21,0.001183327,0.000101594,0.001284921
"6","104 S",0.74,"tree","D",24,0.001387082,0,0.001387082
"7","104 S",0.74,"grass","C",28,0.001417441,0,0.001417441
"8","104 S",0.74,"grass","B",27,0.001304011,0.000211073,0.001515085
"9","104 N",0.74,"grass","A",16,0.000937585,0,0.000937585
"10","104 N",0.74,"grass","B",17,0.001009937,0,0.001009937
"11","104 N",0.74,"grass","E",20,0.001035208,0,0.001035208
"12","104 N",0.74,"grass","C",18,0.00110693,0,0.00110693
"13","104 N",0.74,"tree","A",11,0.001177265,5.70984e-06,0.001182975
"14","104 N",0.74,"tree","B",12,0.00147422,3.67546e-05,0.001510974
"15","104 N",0.74,"tree","C",13,0.001904979,0,0.001904979
"16","104 N",0.74,"grass","D",19,0.00177371,0.000206537,0.001980248
"17","104 N",0.74,"tree","E",15,0.002264241,2.54219e-05,0.002289662
"18","104 N",0.74,"tree","D",14,0.002531202,0,0.002531202
"19","301",0,"tree","A",91,0.001730922,0.000504147,0.002235069
"20","301",0,"tree","C",93,0.001861653,0.000592321,0.002453973
"21","301",0,"tree","D",94,0.003576675,2.52434e-05,0.003601918
"22","301",0,"tree","E",95,0.002361645,0.001736488,0.004098132
"23","301",0,"tree","B",92,0.004295891,0.000727954,0.005023845
"24","209",0,"tree","D",89,0.002059336,4.1998e-05,0.002101334
"25","209",0,"tree","B",87,0.002008939,0.000461875,0.002470815
"26","209",0,"tree","C",88,0.002868125,0.000437672,0.003305796
"27","209",0,"tree","E",90,0.00314498,0.000632197,0.003777177
"28","209",0,"tree","A",86,0.004668506,0.000976759,0.005645265
"29","113",0.09,"tree","D",84,0.001078645,0,0.001078645
"30","113",0.09,"tree","E",85,0.001371641,0,0.001371641
"31","113",0.09,"tree","B",82,0.00158326,0,0.00158326
"32","113",0.09,"tree","C",83,0.001868031,0,0.001868031
"33","113",0.09,"tree","A",81,0.00189176,3.49309e-06,0.001895253
"34","111",0.11,"tree","D",79,0.00096686,0,0.00096686
"35","111",0.11,"tree","C",78,0.001119991,1.4899e-05,0.00113489
"36","111",0.11,"tree","E",80,0.001484884,2.86381e-05,0.001513522
"37","111",0.11,"tree","A",76,0.001311265,0.000363783,0.001675047
"38","111",0.11,"tree","B",77,0.002090403,0.00028257,0.002372972
"39","110",0,"tree","E",75,0.001467707,0,0.001467707
"40","110",0,"tree","B",72,0.00153315,0.000240666,0.001773816
"41","110",0,"tree","A",71,0.002627096,3.74154e-06,0.002630838
"42","110",0,"tree","D",74,0.001762869,0.001786374,0.003549243
"43","110",0,"tree","C",73,0.002531146,0.001135478,0.003666623
"44","108",0.34,"tree","D",64,0.001603025,0,0.001603025
"45","108",0.34,"grass","E",70,0.001368029,0.000264536,0.001632565
"46","108",0.34,"tree","B",62,0.002059748,0,0.002059748
"47","108",0.34,"tree","E",65,0.002106324,0,0.002106324
"48","108",0.34,"grass","C",68,0.002319068,0.000132201,0.002451269
"49","108",0.34,"tree","A",61,0.002812782,0,0.002812782
"50","108",0.34,"tree","C",63,0.003441525,0,0.003441525
"51","108",0.34,"grass","D",69,0.003690404,0.000279243,0.003969647
"52","108",0.34,"grass","B",67,0.003815379,0.000421446,0.004236824
"53","108",0.34,"grass","A",66,0.00223122,0.002116094,0.004347314
"54","107",0.32,"tree","A",51,0.001347403,0,0.001347403
"55","107",0.32,"grass","B",57,0.001551542,0,0.001551542
"56","107",0.32,"tree","B",52,0.0017533,0,0.0017533
"57","107",0.32,"grass","C",58,0.001801061,0,0.001801061
"58","107",0.32,"grass","D",59,0.00164527,0.000380653,0.002025923
"59","107",0.32,"grass","A",56,0.001923388,0.000258542,0.002181931
"60","107",0.32,"tree","D",54,0.002123663,0.000109911,0.002233574
"61","107",0.32,"tree","C",53,0.00253966,0.000193973,0.002733633
"62","106",0.64,"grass","D",49,0.000807585,0,0.000807585
"63","106",0.64,"grass","C",48,0.001412858,0.000136417,0.001549275
"64","106",0.64,"grass","B",47,0.001655333,0.000160596,0.001815929
"65","106",0.64,"tree","B",42,0.002114125,0,0.002114125
"66","106",0.64,"grass","E",50,0.001521138,0.000654985,0.002176123
"67","106",0.64,"tree","C",43,0.002003673,0.000183889,0.002187562
"68","106",0.64,"tree","E",45,0.002029412,0.000907791,0.002937204
"69","106",0.64,"tree","D",44,0.002112887,0.000863296,0.002976183
"70","105",0.47,"grass","A",36,0.001031166,1.17229e-05,0.001042889
"71","105",0.47,"tree","C",33,0.001219496,0,0.001219496
"72","105",0.47,"grass","E",40,0.001292706,0,0.001292706
"73","105",0.47,"grass","D",39,0.001068369,0.000401884,0.001470253
"74","105",0.47,"grass","C",38,0.001019371,0.000501375,0.001520747
"75","105",0.47,"tree","D",34,0.002411414,7.29503e-05,0.002484364
"76","105",0.47,"tree","E",35,0.002736741,0,0.002736741
"77","105",0.47,"grass","B",37,0.001015689,0.001829518,0.002845208
"78","105",0.47,"tree","A",31,0.002872048,0,0.002872048
"79","105",0.47,"tree","B",32,0.003494095,0.000852776,0.004346871
"80","103",0.77,"tree","E",5,0.000969626,0,0.000969626
"81","103",0.77,"grass","E",10,0.000986108,0,0.000986108
"82","103",0.77,"tree","C",3,0.00110001,0,0.00110001
"83","103",0.77,"grass","C",8,0.001274964,0,0.001274964
"84","103",0.77,"grass","D",9,0.001353755,0,0.001353755
"85","103",0.77,"grass","A",6,0.001376063,0,0.001376063
"86","103",0.77,"tree","A",1,0.0012896,0.0001612,0.0014508
"87","103",0.77,"tree","D",4,0.00200589,0,0.00200589
