,Year,Plot,Realfire,Firelevel,Lifeform,Combforms,GenusSpecies,MeanPctCover
1,1984,3,0.77,4,Grass,Grass_C3,Panicum oligosanthes,1
2,1984,3,0.77,4,Grass,Grass_C3,Panicum perlongum,1.833333333
3,1984,3,0.77,4,Grass,Grass_C3,Panicum praecocious,1.3125
4,1984,3,0.77,4,Grass,Grass_C3,Poa pratensis,1
5,1984,3,0.77,4,Grass,Grass_C3,Stipa spartea,1.625
6,1984,3,0.77,4,Grass,Grass_C4,Andropogon gerardii,15.22727273
7,1984,3,0.77,4,Grass,Grass_C4,Panicum virgatum,4.576923077
8,1984,3,0.77,4,Grass,Grass_C4,Schizachyrium scoparium,8.642857143
9,1984,3,0.77,4,Grass,Grass_C4,Sorghastrum nutans,2.833333333
10,1984,3,0.77,4,Legume,Legume_C3,Amorpha canescens,2.428571429
11,1984,3,0.77,4,Legume,Legume_C3,Amphicarpa bracteata,8.464285714
12,1984,3,0.77,4,Legume,Legume_C3,Lespedeza capitata,1
13,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Ambrosia coronopifolia,2
14,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Anemone cylindrica,1
15,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Anemone patens,15.5
16,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Artemisia ludoviciana,3.833333333
17,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Aster azureus,3.625
18,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Comandra umbellata,2.25
19,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Coreopsis palmata,5.333333333
20,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Crepis tectorum,1
21,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Erigeron canadensis,1
22,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Erigeron strigosus,1
23,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Euphorbia corollata,1
24,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Helianthemum bicknellii,3.25
25,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Helianthus laetiflorus,1.833333333
26,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Lactuca canadensis,3.5
27,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Lithospermum canescens,1.833333333
28,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Lithospermum caroliniense,1
29,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Lychnis alba,3.5
30,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Physalis virginiana,1
31,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Polygala polygama,1
32,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Ranunculus rhomboideus,1
33,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Rumex acetosella,2.25
34,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Scutellaria parvula,1.9375
35,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Senecio pauperculus,2.666666667
36,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Smilacina stellata,1
37,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Smilax herbacea,1
38,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Solidago graminifolia,1
39,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Solidago missouriensis,2.875
40,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Solidago nemoralis,1.833333333
41,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Solidago rigida,1
42,1984,3,0.77,4,Non-legume forb,Non-legume forb_C3,Viola pedatifida,1
43,1984,3,0.77,4,Sedge,Sedge_C4,Cyperus sp.,15.16666667
44,1984,3,0.77,4,Woody,Woody_C3,Corylus americana,1.833333333
45,1984,3,0.77,4,Woody,Woody_C3,Quercus ellipsoidalis,2.111111111
46,1984,3,0.77,4,Woody,Woody_C3,Rhus glabra,1.833333333
47,1984,3,0.77,4,Woody,Woody_C3,Rhus radicans,11.14285714
48,1984,3,0.77,4,Woody,Woody_C3,Rubus sp.,33.25
49,1984,4,0.74,4,Grass,Grass_C3,Panicum oligosanthes,1
50,1984,4,0.74,4,Grass,Grass_C3,Panicum perlongum,4.5
51,1984,4,0.74,4,Grass,Grass_C3,Panicum praecocious,4.375
52,1984,4,0.74,4,Grass,Grass_C3,Poa pratensis,1.25
53,1984,4,0.74,4,Grass,Grass_C3,Stipa spartea,1.454545455
54,1984,4,0.74,4,Grass,Grass_C4,Andropogon gerardii,26.75
55,1984,4,0.74,4,Grass,Grass_C4,Bouteloua hirsuta,20.75
56,1984,4,0.74,4,Grass,Grass_C4,Calamovilfa longifolia,1.833333333
57,1984,4,0.74,4,Grass,Grass_C4,Eragrostis spectabilis,1
58,1984,4,0.74,4,Grass,Grass_C4,Muhlenbergia racemosa,1
59,1984,4,0.74,4,Grass,Grass_C4,Panicum virgatum,4.25
60,1984,4,0.74,4,Grass,Grass_C4,Schizachyrium scoparium,9.5
61,1984,4,0.74,4,Grass,Grass_C4,Setaria glauca,1
62,1984,4,0.74,4,Grass,Grass_C4,Sorghastrum nutans,9.3
63,1984,4,0.74,4,Legume,Legume_C3,Amphicarpa bracteata,12.5
64,1984,4,0.74,4,Legume,Legume_C3,Lathyrus venosus,3.5
65,1984,4,0.74,4,Legume,Legume_C3,Lespedeza capitata,1
66,1984,4,0.74,4,Non-legume forb,Non-legume forb_C3,Ambrosia coronopifolia,2.25
67,1984,4,0.74,4,Non-legume forb,Non-legume forb_C3,Ambrosia sp.,1
68,1984,4,0.74,4,Non-legume forb,Non-legume forb_C3,Arenaria lateriflora,1
69,1984,4,0.74,4,Non-legume forb,Non-legume forb_C3,Asclepias tuberosa,1
70,1984,4,0.74,4,Non-legume forb,Non-legume forb_C3,Aster azureus,3.722222222
71,1984,4,0.74,4,Non-legume forb,Non-legume forb_C3,Comandra umbellata,1
72,1984,4,0.74,4,Non-legume forb,Non-legume forb_C3,Coreopsis palmata,1
73,1984,4,0.74,4,Non-legume forb,Non-legume forb_C3,Crepis tectorum,1
74,1984,4,0.74,4,Non-legume forb,Non-legume forb_C3,Fragaria virginiana,3.5
75,1984,4,0.74,4,Non-legume forb,Non-legume forb_C3,Galium boreale,1
76,1984,4,0.74,4,Non-legume forb,Non-legume forb_C3,Helianthemum bicknellii,1.3125
77,1984,4,0.74,4,Non-legume forb,Non-legume forb_C3,Helianthus laetiflorus,3.5
78,1984,4,0.74,4,Non-legume forb,Non-legume forb_C3,Lithospermum canescens,3.5
79,1984,4,0.74,4,Non-legume forb,Non-legume forb_C3,Lithospermum caroliniense,1
80,1984,4,0.74,4,Non-legume forb,Non-legume forb_C3,Oenothera biennis,1
81,1984,4,0.74,4,Non-legume forb,Non-legume forb_C3,Physalis virginiana,1
