File.Name,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
104_AmphBract_1.tiff,Full,1187,1496,1117.567338,1.338622,274.064876,0.391765,0.267763,2.491776,1536.891641,233.083826,1405.49615,0.657,1114.997546,2.569792,0,441.17326,5.750751,0,1387.429634,18.066516,0,222.932048,10.151778,0
104_AmphBract_2.tiff,Full,727,881,825.945211,1.066657,247.130153,0.449883,0.338696,2.645301,1171.935918,216.566886,1188.062993,0.742,823.138934,2.806277,0,371.627149,6.463428,0,1167.757536,20.305457,0,204.808866,11.75802,0
104_AmphBract_3.tiff,Full,1182,1534,1239.908135,1.237188,368.227962,0.505493,0.34912,3.303371,1580.999571,474.128474,2034.471127,0.659,1215.237306,24.670828,0,585.387995,61.794649,0,1840.337513,194.133614,0,350.038593,124.089881,0
104_AmphBract_4.tiff,Full,631,817,616.17183,1.325929,151.482942,0.422829,0.267763,2.5627,817.355873,167.2808,840.84595,0.413,610.976628,5.195202,0,256.095056,11.33403,0,805.239046,35.606904,0,147.793192,19.487609,0
104_AmphBract_5.tiff,Full,966,1394,1154.207805,1.207755,319.619275,0.471739,0.338696,3.341138,1516.917942,373.739198,1732.320839,0.756,1139.4652,14.742606,0,513.682279,37.506691,0,1614.490093,117.830746,0,297.196337,76.542861,0
104_AndrGera_1.tiff,Full,536,488,331.581974,1.471733,73.906927,0.482483,0.378674,2.235458,398.844557,102.333418,528.045588,0.343,329.964142,1.617832,0,164.541633,3.413732,0,517.321031,10.724557,0,96.671967,5.661452,0
104_AndrGera_2.tiff,Full,1,329,1296.95764,0.253671,5726.837788,16.542133,12.729294,63.202209,369.168014,455236.806092,67732.476133,0.747,103.950763,121.991186,1071.01569,73.313943,439.351367,21047.160666,230.607779,1380.263028,66121.605327,66.724429,1313.308924,453856.772739
104_AndrGera_3.tiff,Full,3291,22197,6803.475106,3.262597,6196.740875,2.702887,0.189337,38.645962,4632.009772,258066.381335,70732.316682,1.779,4670.978589,725.874262,1406.622255,1610.745476,2448.554631,18447.777211,5082.468816,7693.082627,57956.76524,1124.966787,6931.166992,250010.247556
104_AndrGera_4.tiff,Full,3054,15825,6656.352054,2.377428,6926.952001,3.831667,0.478988,33.701957,3383.294454,339631.500085,93812.104504,1.75,3814.615433,962.200149,1879.536473,1625.32321,3220.475704,25008.905588,5122.182157,10120.607097,78569.315249,1252.792523,9033.587412,329345.12015
104_AndrGera_5.tiff,Full,1988,3218,1096.410695,2.935032,196.119622,0.501832,0.189337,4.583359,1055.988128,795.896203,1968.865365,0.324,1023.168056,73.242639,0,409.020188,216.633086,0,1287.644547,681.220818,0,268.754309,527.141894,0
