File.Name,species,site,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,total_root_length_mm,Branching.frequency.per.mm,Network.Area.mm2,average_diameter_mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,volume_mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
104_AmphBract_1.tiff,Amphicarpa bracteata,104,Full,562,556,22468.6178,0.024746,178674.0281,10.977512,7.75453,66.672312,35891.93176,3556399.208,775428.477,0.503,0,7139.830402,15328.7874,0,26557.69613,220194.964,0,83433.46307,691995.0139,0,83473.05095,3472926.157
104_AmphBract_2.tiff,Amphicarpa bracteata,104,Full,327,359,17333.83155,0.020711,160877.05,12.531625,8.867644,67.225047,27833.89331,3373455.805,680803.4417,0.483,1.07536,4138.118516,13194.63768,0,15295.00707,201399.895,0,48050.68184,632752.7599,0,48097.81327,3325357.992
104_AmphBract_5.tiff,Amphicarpa bracteata,104,Full,426,570,24402.68277,0.023358,272415.1871,17.189492,11.58198,98.699054,35340.89983,10431778.9,1315869.672,0.532,0,4691.511892,19711.17088,0,17651.2092,400946.9765,0,55452.90915,1260416.763,0,56071.35711,10375707.54
104_PoaPrat_1.tiff,Poa pratensis,104,Full,58,68,1987.548067,0.034213,11658.81309,7.583354,6.801173,17.735289,3249.30783,111689.3187,47409.45793,0.14,0,639.835938,1347.712129,0,2290.639271,12800.25989,0,7196.255505,40213.20243,0,6998.896551,104690.4221
104_PoaPrat_11.tiff,Poa pratensis,104,Full,102,76,2978.238471,0.025518,29510.14195,12.098608,12.540743,26.164636,4854.27878,416940.5133,115757.0517,0.29,0,348.532356,2629.706115,0,1171.941197,35674.67277,0,3681.761854,112075.2899,0,3424.048601,413516.4647
104_PoaPrat_15.tiff,Poa pratensis,104,Full,201,169,5336.564101,0.031668,27721.19295,6.882036,6.452159,28.934974,8882.583968,290696.7701,116225.349,0.273,0,2401.645719,2934.918382,0,7194.419971,29801.25765,0,22601.93693,93623.41209,0,18921.78885,271774.9813
104_PoaPrat_16.tiff,Poa pratensis,104,roi_1,295,207,8840.942014,0.023414,83194.80162,11.374618,12.540743,36.751514,14754.0586,1213388.847,324295.9666,0.665,0,1948.516305,6892.425709,0,5851.037204,97360.76589,0,18381.5755,305914.3911,0,15352.24398,1198036.603
104_PoaPrat_17.tiff,Poa pratensis,104,roi_1,586,526,14940.0213,0.035207,94491.66187,8.423204,7.75453,28.854932,23922.76115,1163810.998,401368.5885,0.629,0,5364.064917,9575.956379,0,17556.3007,110163.8584,0,55154.7453,346213.8432,0,49954.67072,1113856.327
104_PoaPrat_5.tiff,Poa pratensis,104,roi_2,249,165,6693.525334,0.024651,62162.21955,13.803212,10.753599,75.305908,10063.16539,1985191.3,297499.6025,0.267,0,1546.208275,5147.317059,0,4551.236554,90136.29215,0,14298.13132,283201.4712,0,11770.2053,1973421.094
104_PoaPrat_6.tiff,Poa pratensis,104,roi_2,169,125,5221.071461,0.023941,36297.04673,8.530958,8.867644,19.828656,8909.081348,378143.3983,142008.3266,0.251,0,1461.515772,3759.555689,0,4655.958787,40546.69551,0,14627.12592,127381.2007,0,13003.07668,365140.3216
104_PoaPrat_7.tiff,Poa pratensis,104,roi_3,12,12,1057.710928,0.011345,9777.352177,10.40437,10.753599,18.375757,1942.014879,96384.44808,34665.54591,0.083,0,80.327753,977.383175,0,265.590286,10768.79569,0,834.376491,33831.16942,0,764.470161,95619.97792
106_AmphBract_1.tiff,Amphicarpa bracteata,106,Full,136,142,7879.935733,0.01802,106476.5794,21.079973,10.966562,126.892464,11713.14543,5986329.294,529077.9912,0.308,0,1067.391416,6812.544317,0,3846.511619,164564.2435,0,12084.17265,516993.8186,0,11817.1138,5974512.18
106_AmphBract_1.tiff,Amphicarpa bracteata,106,roi_3,180,208,8819.741443,0.023583,119856.114,22.951766,12.904318,132.037376,12112.23281,7781466.798,648870.2518,0.265,0,1095.827857,7723.913586,0,4002.063644,202539.7524,0,12572.85374,636297.398,0,12433.88632,7769032.911
