Plot,Lifeform,GenusSpecies,relative_cover,Realfire,MeanPctCover,species,site,fire_frequency
3,Grass,Panicum oligosanthes,0.05069327926363515,0.77,1,Panicum oligosanthes,103,0.8
3,Grass,Panicum perlongum,0.09293767863310001,0.77,1.833333333,Panicum perlongum,103,0.8
3,Grass,Panicum praecocious,0.06653492903352114,0.77,1.3125,Panicum praecocious,103,0.8
3,Grass,Poa pratensis,0.05069327926363515,0.77,1,Poa pratensis,103,0.8
3,Grass,Stipa spartea,0.08237657880340712,0.77,1.625,Stipa spartea,103,0.8
3,Grass,Andropogon gerardii,0.7719203889254259,0.77,15.22727273,Andropogon gerardii,103,0.8
3,Grass,Panicum virgatum,0.23201923971053728,0.77,4.576923077,Panicum virgatum,103,0.8
3,Grass,Schizachyrium scoparium,0.4381347707858029,0.77,8.642857143,Schizachyrium scoparium,103,0.8
3,Grass,Sorghastrum nutans,0.14363095789673516,0.77,2.833333333,Sorghastrum nutans,103,0.8
3,Legume,Amorpha canescens,0.12311224966198248,0.77,2.428571429,Amorpha canescens,103,0.8
3,Legume,Amphicarpa bracteata,0.4290823994669995,0.77,8.464285714,Amphicarpa bracteata,103,0.8
3,Legume,Lespedeza capitata,0.05069327926363515,0.77,1,Lespedeza capitata,103,0.8
3,Non-legume forb,Ambrosia coronopifolia,0.1013865585272703,0.77,2,Ambrosia coronopifolia,103,0.8
3,Non-legume forb,Anemone cylindrica,0.05069327926363515,0.77,1,Anemone cylindrica,103,0.8
3,Non-legume forb,Anemone patens,0.7857458285863449,0.77,15.5,Anemone patens,103,0.8
3,Non-legume forb,Artemisia ludoviciana,0.19432423716037034,0.77,3.833333333,Artemisia ludoviciana,103,0.8
3,Non-legume forb,Aster azureus,0.18376313733067742,0.77,3.625,Aster azureus,103,0.8
3,Non-legume forb,Comandra umbellata,0.11405987834317909,0.77,2.25,Comandra umbellata,103,0.8
3,Non-legume forb,Coreopsis palmata,0.27036415605582304,0.77,5.333333333,Coreopsis palmata,103,0.8
3,Non-legume forb,Crepis tectorum,0.05069327926363515,0.77,1,Crepis tectorum,103,0.8
3,Non-legume forb,Erigeron canadensis,0.05069327926363515,0.77,1,Erigeron canadensis,103,0.8
3,Non-legume forb,Erigeron strigosus,0.05069327926363515,0.77,1,Erigeron strigosus,103,0.8
3,Non-legume forb,Euphorbia corollata,0.05069327926363515,0.77,1,Euphorbia corollata,103,0.8
3,Non-legume forb,Helianthemum bicknellii,0.16475315760681425,0.77,3.25,Helianthemum bicknellii,103,0.8
3,Non-legume forb,Helianthus laetiflorus,0.09293767863310001,0.77,1.833333333,Helianthus laetiflorus,103,0.8
3,Non-legume forb,Lactuca canadensis,0.17742647742272302,0.77,3.5,Lactuca canadensis,103,0.8
3,Non-legume forb,Lithospermum canescens,0.09293767863310001,0.77,1.833333333,Lithospermum canescens,103,0.8
3,Non-legume forb,Lithospermum caroliniense,0.05069327926363515,0.77,1,Lithospermum caroliniense,103,0.8
3,Non-legume forb,Lychnis alba,0.17742647742272302,0.77,3.5,Lychnis alba,103,0.8
3,Non-legume forb,Physalis virginiana,0.05069327926363515,0.77,1,Physalis virginiana,103,0.8
3,Non-legume forb,Polygala polygama,0.05069327926363515,0.77,1,Polygala polygama,103,0.8
3,Non-legume forb,Ranunculus rhomboideus,0.05069327926363515,0.77,1,Ranunculus rhomboideus,103,0.8
3,Non-legume forb,Rumex acetosella,0.11405987834317909,0.77,2.25,Rumex acetosella,103,0.8
3,Non-legume forb,Scutellaria parvula,0.09821822857329311,0.77,1.9375,Scutellaria parvula,103,0.8
3,Non-legume forb,Senecio pauperculus,0.13518207805325816,0.77,2.666666667,Senecio pauperculus,103,0.8
3,Non-legume forb,Smilacina stellata,0.05069327926363515,0.77,1,Smilacina stellata,103,0.8
3,Non-legume forb,Smilax herbacea,0.05069327926363515,0.77,1,Smilax herbacea,103,0.8
3,Non-legume forb,Solidago graminifolia,0.05069327926363515,0.77,1,Solidago graminifolia,103,0.8
3,Non-legume forb,Solidago missouriensis,0.14574317788295105,0.77,2.875,Solidago missouriensis,103,0.8
3,Non-legume forb,Solidago nemoralis,0.09293767863310001,0.77,1.833333333,Solidago nemoralis,103,0.8
3,Non-legume forb,Solidago rigida,0.05069327926363515,0.77,1,Solidago rigida,103,0.8
3,Non-legume forb,Viola pedatifida,0.05069327926363515,0.77,1,Viola pedatifida,103,0.8
3,Sedge,Cyperus sp.,0.7688480690007773,0.77,15.16666667,Cyperus sp.,103,0.8
3,Woody,Corylus americana,0.09293767863310001,0.77,1.833333333,Corylus americana,103,0.8
3,Woody,Quercus ellipsoidalis,0.10701914510648607,0.77,2.111111111,Quercus ellipsoidalis,103,0.8
3,Woody,Rhus glabra,0.09293767863310001,0.77,1.833333333,Rhus glabra,103,0.8
3,Woody,Rhus radicans,0.5648679687928109,0.77,11.14285714,Rhus radicans,103,0.8
3,Woody,Rubus sp.,1.6855515355158688,0.77,33.25,Rubus sp.,103,0.8
