site,...1,Burn.Unit,Fire,Veg,Point,NumberIN,NH4amountmgperg,NO3amountmgperg,TotalINmgperg,Plot,fire_frequency
103,80,103,0.77,tree,E,5,9.69626e-4,0,9.69626e-4,3,0.8
103,81,103,0.77,grass,E,10,9.86108e-4,0,9.86108e-4,3,0.8
103,82,103,0.77,tree,C,3,0.00110001,0,0.00110001,3,0.8
103,83,103,0.77,grass,C,8,0.001274964,0,0.001274964,3,0.8
103,84,103,0.77,grass,D,9,0.001353755,0,0.001353755,3,0.8
103,85,103,0.77,grass,A,6,0.001376063,0,0.001376063,3,0.8
103,86,103,0.77,tree,A,1,0.0012896,1.612e-4,0.0014508,3,0.8
103,87,103,0.77,tree,D,4,0.00200589,0,0.00200589,3,0.8
104,6,104 S,0.74,tree,D,24,0.001387082,0,0.001387082,24,0.8
104,7,104 S,0.74,grass,C,28,0.001417441,0,0.001417441,24,0.8
104,8,104 S,0.74,grass,B,27,0.001304011,2.11073e-4,0.001515085,24,0.8
104,1,104 S,0.74,grass,A,26,6.53949e-4,2.46333e-4,9.00282e-4,24,0.8
104,2,104 S,0.74,tree,C,23,9.28103e-4,0,9.28103e-4,24,0.8
104,3,104 S,0.74,tree,B,22,0.001092924,0,0.001092924,24,0.8
104,4,104 S,0.74,grass,D,29,0.001106804,0,0.001106804,24,0.8
104,5,104 S,0.74,tree,A,21,0.001183327,1.01594e-4,0.001284921,24,0.8
105,70,105,0.47,grass,A,36,0.001031166,1.17229e-5,0.001042889,5,0.5
105,71,105,0.47,tree,C,33,0.001219496,0,0.001219496,5,0.5
105,72,105,0.47,grass,E,40,0.001292706,0,0.001292706,5,0.5
105,73,105,0.47,grass,D,39,0.001068369,4.01884e-4,0.001470253,5,0.5
105,74,105,0.47,grass,C,38,0.001019371,5.01375e-4,0.001520747,5,0.5
105,75,105,0.47,tree,D,34,0.002411414,7.29503e-5,0.002484364,5,0.5
105,76,105,0.47,tree,E,35,0.002736741,0,0.002736741,5,0.5
105,77,105,0.47,grass,B,37,0.001015689,0.001829518,0.002845208,5,0.5
105,78,105,0.47,tree,A,31,0.002872048,0,0.002872048,5,0.5
105,79,105,0.47,tree,B,32,0.003494095,8.52776e-4,0.004346871,5,0.5
106,62,106,0.64,grass,D,49,8.07585e-4,0,8.07585e-4,6,0.667
106,63,106,0.64,grass,C,48,0.001412858,1.36417e-4,0.001549275,6,0.667
106,64,106,0.64,grass,B,47,0.001655333,1.60596e-4,0.001815929,6,0.667
106,65,106,0.64,tree,B,42,0.002114125,0,0.002114125,6,0.667
106,66,106,0.64,grass,E,50,0.001521138,6.54985e-4,0.002176123,6,0.667
106,67,106,0.64,tree,C,43,0.002003673,1.83889e-4,0.002187562,6,0.667
106,68,106,0.64,tree,E,45,0.002029412,9.07791e-4,0.002937204,6,0.667
106,69,106,0.64,tree,D,44,0.002112887,8.63296e-4,0.002976183,6,0.667
107,54,107,0.32,tree,A,51,0.001347403,0,0.001347403,7,0.333
107,55,107,0.32,grass,B,57,0.001551542,0,0.001551542,7,0.333
107,56,107,0.32,tree,B,52,0.0017533,0,0.0017533,7,0.333
107,57,107,0.32,grass,C,58,0.001801061,0,0.001801061,7,0.333
107,58,107,0.32,grass,D,59,0.00164527,3.80653e-4,0.002025923,7,0.333
107,59,107,0.32,grass,A,56,0.001923388,2.58542e-4,0.002181931,7,0.333
107,60,107,0.32,tree,D,54,0.002123663,1.09911e-4,0.002233574,7,0.333
107,61,107,0.32,tree,C,53,0.00253966,1.93973e-4,0.002733633,7,0.333
108,44,108,0.34,tree,D,64,0.001603025,0,0.001603025,8,0.333
108,45,108,0.34,grass,E,70,0.001368029,2.64536e-4,0.001632565,8,0.333
108,46,108,0.34,tree,B,62,0.002059748,0,0.002059748,8,0.333
108,47,108,0.34,tree,E,65,0.002106324,0,0.002106324,8,0.333
108,48,108,0.34,grass,C,68,0.002319068,1.32201e-4,0.002451269,8,0.333
108,49,108,0.34,tree,A,61,0.0028127820000000002,0,0.0028127820000000002,8,0.333
108,50,108,0.34,tree,C,63,0.003441525,0,0.003441525,8,0.333
108,51,108,0.34,grass,D,69,0.003690404,2.79243e-4,0.003969647,8,0.333
108,52,108,0.34,grass,B,67,0.003815379,4.21446e-4,0.004236824,8,0.333
108,53,108,0.34,grass,A,66,0.00223122,0.002116094,0.004347314,8,0.333
110,39,110,0,tree,E,75,0.001467707,0,0.001467707,10,0
110,40,110,0,tree,B,72,0.00153315,2.40666e-4,0.0017738160000000001,10,0
110,41,110,0,tree,A,71,0.002627096,3.74154e-6,0.002630838,10,0
110,42,110,0,tree,D,74,0.001762869,0.001786374,0.003549243,10,0
110,43,110,0,tree,C,73,0.002531146,0.001135478,0.003666623,10,0
111,34,111,0.11,tree,D,79,9.6686e-4,0,9.6686e-4,11,0.1
111,35,111,0.11,tree,C,78,0.001119991,1.4899e-5,0.00113489,11,0.1
111,36,111,0.11,tree,E,80,0.001484884,2.86381e-5,0.001513522,11,0.1
111,37,111,0.11,tree,A,76,0.001311265,3.63783e-4,0.001675047,11,0.1
111,38,111,0.11,tree,B,77,0.002090403,2.8257e-4,0.002372972,11,0.1
113,29,113,0.09,tree,D,84,0.001078645,0,0.001078645,13,0.1
113,30,113,0.09,tree,E,85,0.001371641,0,0.001371641,13,0.1
113,31,113,0.09,tree,B,82,0.00158326,0,0.00158326,13,0.1
113,32,113,0.09,tree,C,83,0.001868031,0,0.001868031,13,0.1
113,33,113,0.09,tree,A,81,0.00189176,3.4930899999999998e-06,0.001895253,13,0.1
209,24,209,0,tree,D,89,0.002059336,4.1998e-5,0.002101334,9,0
209,25,209,0,tree,B,87,0.002008939,4.61875e-4,0.002470815,9,0
209,26,209,0,tree,C,88,0.002868125,4.37672e-4,0.003305796,9,0
209,27,209,0,tree,E,90,0.00314498,6.32197e-4,0.003777177,9,0
209,28,209,0,tree,A,86,0.004668506,9.76759e-4,0.005645265,9,0
301,19,301,0,tree,A,91,0.001730922,5.04147e-4,0.002235069,18,0
301,20,301,0,tree,C,93,0.001861653,5.92321e-4,0.002453973,18,0
301,21,301,0,tree,D,94,0.003576675,2.52434e-5,0.003601918,18,0
301,22,301,0,tree,E,95,0.002361645,0.001736488,0.004098132,18,0
301,23,301,0,tree,B,92,0.004295891,7.27954e-4,0.005023845,18,0
