site,Deepest,soil_phosphate,fire_frequency,Ca,K
103,5,0.053,0.8,1.5903,1.028
103,5,0.0366,0.8,0.8944,1.0917
103,20,0.0311,0.8,0.4574,0.9505
103,5,0.0239,0.8,0.5758,1.0023
103,20,0.0391,0.8,0.6939,1.1109
103,20,0.0265,0.8,0.5754,1.0092
103,5,0.0322,0.8,1.00285,1.0886
103,10,0.0537,0.8,0.9376,1.1165
103,20,0.0301,0.8,0.6165,1.0183
103,5,0.027,0.8,0.6544,1.0443
103,10,0.05755,0.8,1.12575,0.98305
103,10,0.01365,0.8,0.53295,1.0242
103,20,0.0192,0.8,0.5566,0.9965
103,10,0.0213,0.8,0.5696,1.0016
103,5,0.04,0.8,0.7429,1.1445
103,10,0.0249,0.8,0.6675,0.9684
103,20,0.0269,0.8,0.4122,1.0413
103,5,0.0421,0.8,1.0138,0.9645
103,10,0.0398,0.8,0.4913,0.9281
103,10,0.0292,0.8,0.6123,0.9532
103,20,0.0315,0.8,0.6891,1.0724
103,10,0.0251,0.8,0.4815,1.0133
103,5,0.0451,0.8,0.6662,1.1523
103,20,0.0232,0.8,0.4447,1.0099
103,5,0.0335,0.8,1.069,1.074
103,20,0.051,0.8,0.7594,1.0196
103,5,0.0481,0.8,0.8024,1.19
103,5,0.0424,0.8,0.9205,1.0156
103,10,0.0348,0.8,0.5851,0.9356
103,5,0.0251,0.8,0.84935,0.9564
103,10,0.0413,0.8,0.3968,0.8849
103,10,0.0171,0.8,0.5677,0.9347
103,20,0.0287,0.8,0.6155,0.9405
103,10,0.0372,0.8,0.5831,0.9074
103,20,0.0366,0.8,0.7746,1.0994
103,20,0.0164,0.8,0.4989,0.98
104 N,20,0.0142,0.8,0.4119,1.0438
104 N,10,0.0423,0.8,0.6657,1.2411
104 N,20,0.0219,0.8,0.6012,1.0741
104 N,10,0.021,0.8,0.389,0.8927
104 N,10,0.0329,0.8,1.1103,0.9317
104 N,5,0.0269,0.8,0.7491,0.995
104 N,5,0.0303,0.8,0.635,0.9761
104 N,10,0.0187,0.8,0.6075,0.9814
104 N,5,0.0378,0.8,0.7059,1.0643
104 N,5,0.0227,0.8,0.57,0.9926
104 N,10,0.023,0.8,0.5116,1.038
104 N,10,0.0242,0.8,0.4805,0.8976
104 N,5,0.0514,0.8,0.5429,1.0969
104 N,5,0.052,0.8,1.2038,0.8587
104 N,20,0.0216,0.8,0.3494,1.0166
104 N,5,0.0356,0.8,0.8753,0.9939
104 N,20,0.012,0.8,0.3937,0.976
104 N,20,0.0195,0.8,0.7583,0.9171
104 N,20,0.027,0.8,0.3423,0.9607
104 N,5,0.0398,0.8,0.9226,0.8747
104 N,20,0.006,0.8,0.4431,0.9482
104 N,10,0.0153,0.8,0.5214,0.9383
104 N,10,0.0337,0.8,0.5771,1.0027
104 N,5,0.0312,0.8,0.86,1.0085
104 N,20,0.0271,0.8,0.4518,1.0177
104 N,20,0.0261,0.8,0.4009,0.952
104 N,20,0.0084,0.8,0.3351,0.9899
104 N,10,0.0337,0.8,0.5003,1.0335
104 N,10,0.0163,0.8,0.4093,0.9491
104 N,5,0.0287,0.8,0.621,0.8777
104 N,20,0.0061,0.8,0.407,0.9195
104 N,5,0.0407,0.8,1.17705,1.04685
104 N,5,0.0289,0.8,0.751,1.1357
104 N,10,0.0119,0.8,0.5424,0.9664
104 S,5,0.0469,0.8,1.3221,1.0304
104 S,10,0.0411,0.8,0.5284,1.0649
104 S,20,0.0687,0.8,0.4446,0.9362
104 S,10,0.0158,0.8,0.6894,1.1156
104 S,20,0.0062,0.8,0.5454,0.862
104 S,20,0.0139,0.8,0.4417,0.854
104 S,20,0.0226,0.8,0.4293,0.9517
104 S,20,0.0191,0.8,0.4506,1.0687
104 S,10,0.0234,0.8,0.4484,0.9517
104 S,10,0.021,0.8,0.4987,0.9663
104 S,20,0.0117,0.8,0.4377,0.8344
104 S,5,0.0245,0.8,0.6047,0.9031
104 S,10,0.0629,0.8,0.4064,0.912
104 S,5,0.033,0.8,0.5469,0.9019
104 S,20,0.0197,0.8,0.5739,0.932
104 S,5,0.0269,0.8,0.6096,0.8566
104 S,5,0.0561,0.8,0.68,1.0569
104 S,10,0.0392,0.8,0.4079,0.8555
104 S,10,0.0303,0.8,0.6008,0.9926
104 S,5,0.0307,0.8,0.7158,0.903
104 S,10,0.0223,0.8,0.7509,0.9425
104 S,5,0.0294,0.8,0.6293,0.9829
104 S,20,0.0432,0.8,0.4601,0.9563
104 S,5,0.0499,0.8,0.4515,1.0815
104 S,5,0.048,0.8,0.7638,0.8447
104 S,10,0.0186,0.8,0.3808,0.8358
104 S,10,0.0517,0.8,0.4112,1.0514
104 S,10,0.034,0.8,0.6639,1.0551
104 S,20,0.011,0.8,0.4232,0.8828
104 S,5,0.0429,0.8,0.9101,1.0703
104 S,5,0.0438,0.8,0.8744,1.0488
104 S,5,0.067,0.8,0.6426,0.8853
104 S,20,0.0343,0.8,0.5562,1.0889
104 S,20,0.0274,0.8,0.463,0.8818
104 S,20,0.0129,0.8,0.4054,0.8652
104 S,10,0.0171,0.8,0.6443,0.9378
105,10,0.0262,0.5,0.6189,1.0268
105,5,0.035,0.5,0.9077,1.0512
105,5,0.0305,0.5,0.81775,0.79395
105,5,0.0518,0.5,0.8106,0.9552
105,20,0.0226,0.5,0.5804,0.9867
105,20,0.0315,0.5,0.5705,1.0176
105,10,0.0255,0.5,0.5693,1.0033
105,5,0.0319,0.5,0.7179,0.9714
105,5,0.0295,0.5,1.0437,1.0552
105,10,0.0372,0.5,0.5413,1.1258
105,10,0.0419,0.5,0.6724,0.9853
105,10,0.032,0.5,0.4934,1.0229
105,20,0.027,0.5,0.4572,1.1275
105,5,0.03,0.5,0.7867,1.0888
105,5,0.0364,0.5,0.7662,1.0073
105,20,0.0334,0.5,0.4852,0.9119
105,5,0.0359,0.5,0.7383,1.0344
105,20,0.0265,0.5,0.4817,0.9858
105,20,0.0176,0.5,0.5486,0.9496
105,5,0.0393,0.5,0.7973,1.0408
105,20,0.0546,0.5,0.6469,1.0438
105,10,0.0291,0.5,0.7953,1.0552
105,20,0.0191,0.5,0.5415,0.9465
105,5,0.0536,0.5,0.5668,0.8922
105,10,0.0379,0.5,0.5359,1.0079
105,20,0.029,0.5,0.5339,1.0605
105,10,0.0148,0.5,0.5396,0.9717
105,10,0.0301,0.5,0.5257,0.9797
105,20,0.0345,0.5,0.5167,1.0323
105,10,0.0336,0.5,0.7848,1.0013
105,10,0.0374,0.5,0.7601,1.0314
105,20,0.0242,0.5,0.6347,0.9883
105,20,0.0221,0.5,0.5316,1.0015
105,5,0.0302,0.5,0.7542,1.0462
105,10,0.0279,0.5,0.5919,0.9414
105,5,0.0515,0.5,0.9549,1.0402
106,20,0.0434,0.66,0.5719,0.9838
106,5,0.0343,0.66,0.8733,0.9663
106,20,0.0079,0.66,0.4674,0.8274
106,10,0.0327,0.66,0.5912,0.8731
106,10,0.0155,0.66,0.4897,0.8314
106,5,0.0227,0.66,1.0383,0.7825
106,5,0.0117,0.66,0.9472,0.7226
106,5,0.0507,0.66,0.6744,0.9654
106,10,0.0341,0.66,0.6319,1.0591
106,20,0.0286,0.66,0.5979,1.001
106,10,0.0358,0.66,0.6345,0.9575
106,5,0.0158,0.66,0.6094,1.007
106,10,0.0276,0.66,0.4827,0.9936
106,20,0.0269,0.66,0.486,0.9884
106,20,0.0314,0.66,0.56,1.0514
106,10,0.015,0.66,0.4195,0.9039
106,10,0.0296,0.66,0.4568,1.061
106,20,0.0296,0.66,0.5363,0.9078
106,10,0.0117,0.66,0.6012,0.9817
106,20,0.0196,0.66,0.4861,0.9713
106,20,0.021,0.66,0.417,1.0713
106,5,0.0352,0.66,0.7782,0.9731
106,20,0.0484,0.66,0.5318,0.9709
106,10,0.0251,0.66,0.4709,0.8486
106,10,0.0451,0.66,0.6508,1.0045
106,5,0.0373,0.66,0.7591,1.1286
106,5,0.0314,0.66,0.5715,0.946
106,20,0.0231,0.66,0.452,0.8502
106,5,0.0286,0.66,0.7893,1.0487
106,10,0.0379,0.66,0.662,1.0379
106,10,0.0279,0.66,0.5347,0.9365
106,5,0.0436,0.66,0.7394,0.8917
106,20,0.0314,0.66,0.5344,1.0123
106,20,0.027,0.66,0.5432,0.8269
106,5,0.0272,0.66,0.6631,0.8868
106,5,0.0256,0.66,0.6166,0.8677
107,10,0.0185,0.33,0.5423,0.9408
107,5,0.0135,0.33,0.5569,0.9692
107,10,0.0245,0.33,0.4807,0.9472
107,20,0.0129,0.33,0.4926,0.9771
107,10,0.0242,0.33,0.4905,1.0753
107,10,0.0369,0.33,0.535,1.1455
107,10,0.0432,0.33,1.5352,0.9543
107,20,0.0185,0.33,0.4791,0.9742
107,5,0.0221,0.33,0.7392,1.1057
107,10,0.0018,0.33,0.4736,0.9261
107,10,0.0288,0.33,0.595,0.9138
107,20,0.0258,0.33,0.4079,0.9111
107,20,0.0249,0.33,0.7152,1.0568
107,20,0.0189,0.33,0.4612,0.9752
107,20,0.013,0.33,0.4174,0.8958
107,10,0.0054,0.33,0.4061,0.9207
107,20,0.0157,0.33,0.4172,1.0022
107,20,0.0102,0.33,0.4387,0.9572
107,10,0.0083,0.33,0.4414,0.9875
107,20,0.0207,0.33,0.5862,1.0294
107,5,0.031,0.33,0.8231,1.0678
107,5,0.0202,0.33,0.6568,0.9721
107,20,0.0143,0.33,0.5007,1.0449
107,10,0.0394,0.33,0.5901,1.0314
107,5,0.0061,0.33,0.8678,0.8687
107,10,0.0151,0.33,0.4453,0.9048
107,10,0.0248,0.33,0.5068,0.9411
107,20,0.022,0.33,0.5386,1.0212
107,5,0.0122,0.33,0.5388,1.0009
107,5,0.0315,0.33,0.6935,1.0343
107,5,0.0183,0.33,0.6669,0.9092
107,20,0.0134,0.33,0.4231,0.9536
107,5,0.0114,0.33,0.5532,1.0887
107,5,0.0155,0.33,0.7358,0.9126
108,5,0.0207,0.33,0.9118,0.8939
108,20,0.0221,0.33,0.3424,0.8679
108,10,0.0168,0.33,0.3627,0.8108
108,5,0.0647,0.33,2.2457,0.9469
108,5,0.0229,0.33,0.6716,0.9685
108,20,0.0162,0.33,0.4403,1.0114
108,20,0.0162,0.33,0.4278,0.8551
108,5,0.0199,0.33,0.5634,1.0045
108,5,0.0314,0.33,1.3258,1.1399
108,20,0.0289,0.33,0.5756,0.9588
108,5,0.0209,0.33,1.3674,0.9447
108,20,0.0354,0.33,0.509,1.0309
108,20,0.0209,0.33,0.4434,0.9246
108,10,0.0279,0.33,0.6162,0.9354
108,20,0.0291,0.33,0.503,0.9043
108,10,0.0217,0.33,0.6471,0.8139
108,20,0.0281,0.33,0.4609,0.9504
108,10,0.0174,0.33,0.4885,0.952
108,5,0.0241,0.33,0.8694,0.9703
108,20,0.0203,0.33,0.3971,0.873
108,20,0.0117,0.33,0.3613,0.9663
108,10,0.0538,0.33,0.9592,0.9547
108,20,0.0444,0.33,0.584,0.9587
108,5,0.0329,0.33,0.875,0.9364
